date,ticker,open,high,low,close,volume,log_return,vol_realized_5d,vol_realized_20d,vol_intraday,abs_return,sq_return,log_volume_change,news_tone_mean,news_tone_std,news_tone_median,news_tone_min,news_tone_max,news_n_noticias,news_pct_negativo,news_pct_positivo,rddt_n_posts,rddt_score_mean,rddt_score_std,rddt_score_median,rddt_n_comments_mean,rddt_upvote_ratio_mean,rddt_pct_posts_wsb,rddt_pct_con_texto,day_of_week,month,quarter,year,finbert_positive_pct,finbert_negative_pct,finbert_neutral_pct,finbert_sentiment_score,finbert_n_posts
2019-01-03,AAPL,34.19317547745964,34.60640172363963,33.72295500680148,33.7680778503418,365248800,-0.1049242979774539,,,0.0261621855041183,0.1049242979774539,0.0110091083060615,0.90229409369145,-1.9791566731617112,2.2111183652698725,-2.16216216216216,-10.4138851802403,9.16030534351145,2320.0,82.97413793103449,13.79310344827586,35.0,425.57142857142856,1983.6278304530567,2.0,36.85714285714285,1.0,74.28571428571429,25.71428571428571,3,1,1,2019,0.0,14.285714285714285,85.71428571428571,-0.0527840501761862,35.0
2019-01-04,AAPL,34.32379352547417,35.278486653439785,34.15043005188284,35.20961380004883,234428400,0.0418032507085664,,,0.0320383122621861,0.0418032507085664,0.0017475117698032,-0.443428554431383,-1.3272225765109864,2.580670648716969,-1.34259036723707,-15.8690176322418,9.66386554621849,1460.0,72.32876712328768,25.273972602739725,15.0,41.73333333333333,72.67586224036802,12.0,17.733333333333334,1.0,66.66666666666666,33.33333333333333,4,1,1,2019,0.0,26.666666666666668,73.33333333333333,-0.1504738471470773,15.0
2019-01-07,AAPL,35.314101925245296,35.34497620753609,34.64914163479425,35.1312370300293,219111200,-0.0022284860512922,,,0.0198067199326645,0.0022284860512922,4.966150080803923e-06,-0.067570847267292,-0.3572195793239993,2.9119298422898816,-0.306748466257669,-13.782991202346,8.86075949367089,835.0,53.05389221556887,43.35329341317365,5.0,87.0,164.85751423577878,6.0,41.0,1.0,60.0,20.0,0,1,1,2019,20.0,40.0,40.0,-0.1348752260208129,5.0
2019-01-08,AAPL,35.51834826233486,36.055068075400506,35.27136481535477,35.80095672607422,164101200,0.0188839386595505,,,0.0218905675075145,0.0188839386595505,0.0003566031392976,-0.2890960528222244,-0.4790504929539514,2.6653624338609103,-0.840336134453781,-14.5161290322581,8.92857142857143,999.0,63.16316316316316,33.733733733733736,12.0,157.33333333333334,231.5949965440584,41.5,42.0,1.0,41.66666666666667,58.333333333333336,1,1,1,2019,0.0,25.0,75.0,-0.184190314495936,12.0
2019-01-09,AAPL,35.92919831490206,36.69865303809117,35.53497493470445,36.40892028808594,180396400,0.016839190237614,0.912825714084327,,0.0319613461255952,0.016839190237614,0.0002835583278585,0.0946733410917368,-0.4357463392495961,2.693437379384712,-0.381679389312978,-13.6143745680719,8.02292263610315,886.0,53.49887133182845,42.88939051918736,3.0,28.33333333333333,27.73685875028629,21.0,12.333333333333334,1.0,100.0,33.33333333333333,2,1,1,2019,0.0,0.0,100.0,0.0188559132317702,3.0
2019-01-10,AAPL,36.21654426234322,36.565648290377936,35.82706812801261,36.52527618408203,143122800,0.0031907116370377,0.2715802852289722,,0.0202210698871375,0.0031907116370377,1.0180640750728332e-05,-0.2314536487639776,-0.5421469418083239,2.84777991036152,-0.32051282051282,-9.52380952380952,21.7857142857143,785.0,52.86624203821656,44.96815286624204,0.0,,,,,,0.0,0.0,3,1,1,2019,,,,,
2019-01-11,AAPL,36.30680246578782,36.50153878834281,35.98144470474648,36.16668319702149,108092800,-0.0098661777434369,0.1958421624741261,,0.014380475001345,0.0098661777434369,9.734146326509018e-05,-0.2807128855797502,-0.583737055308694,2.8711999161503523,-0.36003600360036,-13.986013986014,11.2874779541446,778.0,53.47043701799485,38.56041131105398,2.0,4.0,2.8284271247461903,4.0,9.5,1.0,50.0,50.0,4,1,1,2019,0.0,50.0,50.0,-0.434019286185503,2.0
2019-01-14,AAPL,35.82470125952503,35.924444768462564,35.437598603803195,35.62283706665039,129756800,-0.0151514185457374,0.2431739292372635,,0.0136666870117188,0.0151514185457374,0.0002295654839481,0.182671811718987,-0.4134854447298899,2.6301928439771256,0.0,-12.4277456647399,8.30860534124629,619.0,49.919224555735056,45.23424878836833,4.0,9.75,11.116804097101529,6.5,4.25,1.0,50.0,75.0,0,1,1,2019,0.0,25.0,75.0,-0.0685457827057689,4.0
2019-01-15,AAPL,35.68696070331559,36.42791458616587,35.634713583499995,36.35192108154297,114843600,0.0202601293169919,0.2490412938414083,,0.0218200573468071,0.0202601293169919,0.0004104728399412,-0.1220907264266551,-0.4116266183960096,2.5986488674033983,0.0,-13.4228187919463,10.9090909090909,825.0,45.93939393939394,49.81818181818182,5.0,9.4,14.892951352905172,2.0,14.6,1.0,80.0,40.0,1,1,1,2019,0.0,20.0,80.0,0.0072454884648323,5.0
2019-01-16,AAPL,36.35430090299284,37.01926139590715,36.33530161762464,36.796024322509766,122278800,0.01214275248025,0.2344698294503696,,0.0185878716756936,0.01214275248025,0.0001474464377966,0.0627324807078831,-0.3823950267311387,2.844514121473876,-0.456065715616888,-10.4166666666667,15.1898734177215,768.0,53.77604166666666,42.96875,6.0,6.833333333333333,13.847984209503805,1.5,8.5,1.0,50.0,50.0,2,1,1,2019,16.666666666666664,16.666666666666664,66.66666666666666,0.0317824551214774,6.0
