date;company;open;high;low;close;volume;return;volatility_proxy;sentiment_news;sentiment_social;sentiment_volume
03/01/2024;AAPL;183.121;184.771;182.335;183.151;58765173;-0.007511940960342879;0.007511940960342879;0;-1;1
04/01/2024;AAPL;181.064;181.995;179.799;180.824;72415750;-0.012786766704090248;0.012786766704090248;-1;-1;2
05/01/2024;AAPL;180.904;181.669;179.094;180.099;62754180;-0.004017482815641655;0.004017482815641655;0;-1;6
08/01/2024;AAPL;180.999;184.492;180.417;184.453;59499566;0.023887988785116526;0.023887988785116526;0;0;10
09/01/2024;AAPL;182.823;184.046;181.639;184.036;43099026;-0.0022632978352540457;0.0022632978352540457;1;0;4
10/01/2024;AAPL;183.25;185.287;182.823;185.079;47073846;0.005651370309750889;0.005651370309750889;-1;1;1
11/01/2024;AAPL;185.427;185.934;182.524;184.482;49423369;-0.003230863209668522;0.003230863209668522;1;-1;6
12/01/2024;AAPL;184.949;185.626;184.084;184.81;40720805;0.0017763725520744155;0.0017763725520744155;-1;-1;1
16/01/2024;AAPL;181.074;183.161;179.853;182.534;65996913;-0.012391813257200809;0.012391813257200809;-1;0;2
17/01/2024;AAPL;180.189;181.839;179.224;181.589;47601521;-0.005190565395095083;0.005190565395095083;-1;-1;3
18/01/2024;AAPL;184.979;188.011;184.722;187.504;78474091;0.03205428687087747;0.03205428687087747;1;0;5
19/01/2024;AAPL;188.201;190.804;187.693;190.417;69316670;0.01541622556957194;0.01541622556957194;0;1;3
22/01/2024;AAPL;191.152;194.165;191.113;192.733;60494888;0.012089407321460327;0.012089407321460327;1;1;1
23/01/2024;AAPL;193.855;194.582;192.673;194.015;42609887;0.006629664254672646;0.006629664254672646;1;-1;4
24/01/2024;AAPL;194.254;195.208;193.18;193.339;53953311;-0.003490350874308534;0.003490350874308534;-1;0;3
25/01/2024;AAPL;194.055;195.095;191.96;193.011;55151271;-0.001697942688247714;0.001697942688247714;0;0;1
26/01/2024;AAPL;193.11;193.598;190.794;191.272;44861748;-0.00905068332876305;0.00905068332876305;0;0;8
29/01/2024;AAPL;190.864;191.053;188.448;190.586;47428678;-0.003592962504313191;0.003592962504313191;0;0;6
30/01/2024;AAPL;189.801;190.656;186.351;186.917;56194742;-0.019438868209798458;0.019438868209798458;0;1;10
31/01/2024;AAPL;185.924;185.979;183.25;183.299;55800824;-0.019545968763113264;0.019545968763113264;-1;1;1
01/02/2024;AAPL;182.888;185.834;182.723;185.745;65274972;0.013256066041764276;0.013256066041764276;0;1;3
02/02/2024;AAPL;178.787;186.212;178.181;184.742;103167387;-0.005414508203542763;0.005414508203542763;-1;-1;8
05/02/2024;AAPL;187.026;188.121;184.732;186.561;70087103;0.00979800622196481;0.00979800622196481;-1;1;3
06/02/2024;AAPL;185.745;188.181;185.655;188.171;43751872;0.008592860532251202;0.008592860532251202;0;0;10
07/02/2024;AAPL;189.502;189.911;187.486;188.281;53759796;0.0005844038715729131;0.0005844038715729131;1;-1;3
08/02/2024;AAPL;188.256;188.403;186.232;187.196;41207977;-0.005779331463582438;0.005779331463582438;-1;0;4
09/02/2024;AAPL;187.763;189.098;187.116;187.962;45368429;0.004083618445990788;0.004083618445990788;1;1;4
12/02/2024;AAPL;187.529;187.783;185.912;186.271;41979219;-0.00903721215829771;0.00903721215829771;-1;-1;3
13/02/2024;AAPL;184.897;185.335;182.65;184.17;56796450;-0.011343358474013908;0.011343358474013908;0;-1;4
14/02/2024;AAPL;184.449;184.659;181.582;183.284;54888471;-0.00482238166965358;0.00482238166965358;0;1;5
15/02/2024;AAPL;182.687;183.623;180.498;182.996;65743464;-0.0015725677588251986;0.0015725677588251986;1;-1;2
16/02/2024;AAPL;182.558;183.982;180.811;181.453;49987386;-0.008467627676335384;0.008467627676335384;-1;-1;3
20/02/2024;AAPL;180.936;181.572;179.154;180.706;53918951;-0.004125265749899086;0.004125265749899086;0;-1;10
21/02/2024;AAPL;181.086;182.03;179.81;181.463;41725768;0.004180374921181376;0.004180374921181376;0;-1;2
22/02/2024;AAPL;182.617;184.085;181.602;183.503;52539121;0.011179239960844488;0.011179239960844488;0;-1;5
23/02/2024;AAPL;184.14;184.17;181.374;181.662;45332723;-0.010083198543031389;0.010083198543031389;-1;-1;7
26/02/2024;AAPL;181.384;181.901;179.8;180.309;41060388;-0.007475771823001993;0.007475771823001993;1;1;9
27/02/2024;AAPL;180.249;183.058;178.717;181.772;54575333;0.008081108711454559;0.008081108711454559;-1;-1;3
28/02/2024;AAPL;181.652;182.26;179.284;180.567;49185089;-0.0066512544459650476;0.0066512544459650476;1;1;4
29/02/2024;AAPL;180.418;181.712;178.687;179.9;137327985;-0.003700759077795838;0.003700759077795838;1;0;1
01/03/2024;AAPL;178.707;179.681;176.547;178.816;73910432;-0.0060437967620455115;0.0060437967620455115;-1;0;1
